Programming Language,Profesia,Profession,CVOnline,Total
TypeScript/Node.js,1,0,0,1
ABAP: Basic,1,0,0,1
ACCESS,0,1,0,1
Symfony + Doctrine,1,0,0,1
TESTING,0,1,0,1
VBA/VBS,0,1,0,1
VISIO,0,1,0,1
VMWARE,0,1,0,1
Unity,1,0,0,1
Unix - beginner level,1,0,0,1
Unix-Shell,1,0,0,1
microservice architektúra,0,1,0,1
async communication,1,0,0,1
.NET 8+,1,0,0,1
*.BAT),1,0,0,1
#,0,1,0,1
.NET Core / .NET 8,0,1,0,1
.NET Core / .NET MVC,1,0,0,1
.NET Core / ASP.NET Core,0,1,0,1
object-oriented programming ABAP OO,0,1,0,1
pandas,0,1,0,1
plotly,1,0,0,1
postgresql,1,0,0,1
primefaces,1,0,0,1
iOS development,1,0,0,1
jquery,0,1,0,1
knockout,0,1,0,1
VeriStand,0,0,1,1
pytest,0,0,1,1
qTest,1,0,0,1
scikit-learn,0,1,0,1
swagger,1,0,0,1
.NET 7+,1,0,0,1
modern JS frameworks (ES6+),1,0,0,1
numpy),1,0,0,1
API-DEVOPS,0,1,0,1
ARM architektúra,0,1,0,1
ASP,1,0,0,1
AJAX,1,0,0,1
AL,0,1,0,1
APACHE,0,1,0,1
ABAP on HANA,0,1,0,1
ABAP-OO,1,0,0,1
ABAP - Advanced,1,0,0,1
ABAP Cloud,1,0,0,1
ABAP WebDynpro,0,0,1,1
.NET MVC,1,0,0,1
.NET5+,0,1,0,1
.PHP,0,1,0,1
.NET Core / C#,1,0,0,1
.NET Core 6,1,0,0,1
Windows PowerShell,1,0,0,1
WooCommerce,0,1,0,1
WebAPI,1,0,0,1
basics of programming,1,0,0,1
batch files (*.CMD,1,0,0,1
configurations,0,1,0,1
container technologies,1,0,0,1
databases,1,0,0,1
Yocto Linux,0,1,0,1
ZFS,1,0,0,1
asp.net MVC,0,1,0,1
XML - Advanced,1,0,0,1
XML/JSON/YAML,1,0,0,1
XSD - Advanced,1,0,0,1
Wildfly 32,1,0,0,1
WinCC,1,0,0,1
.C,0,1,0,1
.NET (Backend),1,0,0,1
.NET (preferably .NET 9),0,1,0,1
.NET - Intermediate,1,0,0,1
XUnit,1,0,0,1
Xpath - Advanced,1,0,0,1
YAML,1,0,0,1
Yaml,1,0,0,1
